date,flag,dec,dir,score,premarket,base_taken,released,rel_at,price,+3m,+6m,+9m,+15m,+30m,+60m,MFE,MAE
20260821,10:06,10:12,B,-2,UP_RED,True,False,,6510.0,-0.30721966205837176,-1.228878648233487,0.2304147465437788,0.38402457757296465,1.5360983102918586,0.7680491551459293,3.763440860215054,-1.228878648233487
20260821,10:27,10:33,B,-2,UP_RED,False,False,,6675.0,-0.0749063670411985,-1.2734082397003745,-0.9737827715355805,-0.37453183520599254,-0.37453183520599254,-2.1722846441947565,1.198501872659176,-2.6217228464419478
20260824,09:51,09:57,R,-1,DOWN_BLUE,True,False,,10960.0,-0.36496350364963503,-0.22810218978102187,-0.8211678832116789,0.5474452554744526,-1.1861313868613137,-5.702554744525547,1.0036496350364963,-5.930656934306569
20260825,09:27,09:33,R,-1,DOWN_BLUE,True,False,,8915.0,-1.5703869882220975,-1.6264722378014584,-1.4582164890633762,-0.5047672462142456,-1.4582164890633762,-0.16825574873808188,0.7291082445316881,-3.0286034772854737
20260827,10:24,10:30,R,-2,DOWN_BLUE,True,False,,10655.0,-0.18770530267480057,-0.14077897700610043,-0.7508212106992023,-0.9385265133740028,0.5161895823557016,1.0323791647114031,1.2200844673862037,-1.5485687470671048
20260827,10:48,10:54,R,-1,DOWN_BLUE,False,False,,10750.0,-0.18604651162790697,-0.37209302325581395,-0.37209302325581395,-0.046511627906976744,-0.23255813953488372,0.7441860465116279,1.3488372093023255,-0.7906976744186046
20260903,09:39,09:45,R,-2,DOWN_BLUE,False,False,,9225.0,0.10840108401084012,-0.05420054200542006,-0.6504065040650406,0.16260162601626016,1.1382113821138211,1.2466124661246614,2.4390243902439024,-0.7588075880758808
20260907,09:15,09:21,B,-1,UP_RED,True,False,,6480.0,-0.38580246913580246,-0.4629629629629629,-0.15432098765432098,0.6172839506172839,-0.15432098765432098,-1.0802469135802468,0.9259259259259258,-1.2345679012345678
20260908,09:03,09:09,B,-2,UP_RED,False,False,,5975.0,-1.506276150627615,-3.5146443514644354,-4.184100418410042,-3.933054393305439,-2.928870292887029,-4.351464435146443,1.3389121338912133,-6.359832635983263
20260908,10:06,10:12,B,-2,UP_RED,True,False,,5690.0,0.08787346221441124,0.9666080843585236,0.5272407732864675,0.4393673110720563,-0.8787346221441126,-0.7908611599297013,1.1423550087873462,-1.5817223198594026
